"","boxscore_links"
"259","https://www.basketball-reference.com/teams/UTA/2017.html"
"260","https://www.basketball-reference.com/teams/NYK/2017.html"
"261","https://www.basketball-reference.com/boxscores/201611060NYK.html"
"262","https://www.basketball-reference.com/teams/POR/2017.html"
"263","https://www.basketball-reference.com/teams/MEM/2017.html"
"264","https://www.basketball-reference.com/boxscores/201611060MEM.html"
"265","https://www.basketball-reference.com/teams/SAC/2017.html"
"266","https://www.basketball-reference.com/teams/TOR/2017.html"
"267","https://www.basketball-reference.com/boxscores/201611060TOR.html"
"268","https://www.basketball-reference.com/teams/MIL/2017.html"
"269","https://www.basketball-reference.com/teams/DAL/2017.html"
"270","https://www.basketball-reference.com/boxscores/201611060DAL.html"
"271","https://www.basketball-reference.com/teams/DEN/2017.html"
"272","https://www.basketball-reference.com/teams/BOS/2017.html"
"273","https://www.basketball-reference.com/boxscores/201611060BOS.html"
"274","https://www.basketball-reference.com/teams/PHO/2017.html"
"275","https://www.basketball-reference.com/teams/LAL/2017.html"
"276","https://www.basketball-reference.com/boxscores/201611060LAL.html"
"277","https://www.basketball-reference.com/teams/IND/2017.html"
"278","https://www.basketball-reference.com/teams/CHO/2017.html"
"279","https://www.basketball-reference.com/boxscores/201611070CHO.html"
"280","https://www.basketball-reference.com/teams/UTA/2017.html"
"281","https://www.basketball-reference.com/teams/PHI/2017.html"
"282","https://www.basketball-reference.com/boxscores/201611070PHI.html"
"283","https://www.basketball-reference.com/teams/HOU/2017.html"
"284","https://www.basketball-reference.com/teams/WAS/2017.html"
"285","https://www.basketball-reference.com/boxscores/201611070WAS.html"
"286","https://www.basketball-reference.com/teams/ORL/2017.html"
"287","https://www.basketball-reference.com/teams/CHI/2017.html"
"288","https://www.basketball-reference.com/boxscores/201611070CHI.html"
"289","https://www.basketball-reference.com/teams/MIA/2017.html"
"290","https://www.basketball-reference.com/teams/OKC/2017.html"
"291","https://www.basketball-reference.com/boxscores/201611070OKC.html"
"292","https://www.basketball-reference.com/teams/NOP/2017.html"
"293","https://www.basketball-reference.com/teams/GSW/2017.html"
"294","https://www.basketball-reference.com/boxscores/201611070GSW.html"
"295","https://www.basketball-reference.com/teams/DET/2017.html"
"296","https://www.basketball-reference.com/teams/LAC/2017.html"
"297","https://www.basketball-reference.com/boxscores/201611070LAC.html"
"298","https://www.basketball-reference.com/teams/ATL/2017.html"
"299","https://www.basketball-reference.com/teams/CLE/2017.html"
"300","https://www.basketball-reference.com/boxscores/201611080CLE.html"
"301","https://www.basketball-reference.com/teams/MIN/2017.html"
"302","https://www.basketball-reference.com/teams/BRK/2017.html"
"303","https://www.basketball-reference.com/boxscores/201611080BRK.html"
"304","https://www.basketball-reference.com/teams/DEN/2017.html"
"305","https://www.basketball-reference.com/teams/MEM/2017.html"
"306","https://www.basketball-reference.com/boxscores/201611080MEM.html"
"307","https://www.basketball-reference.com/teams/PHO/2017.html"
"308","https://www.basketball-reference.com/teams/POR/2017.html"
"309","https://www.basketball-reference.com/boxscores/201611080POR.html"
"310","https://www.basketball-reference.com/teams/DAL/2017.html"
"311","https://www.basketball-reference.com/teams/LAL/2017.html"
"312","https://www.basketball-reference.com/boxscores/201611080LAL.html"
"313","https://www.basketball-reference.com/teams/NOP/2017.html"
"314","https://www.basketball-reference.com/teams/SAC/2017.html"
"315","https://www.basketball-reference.com/boxscores/201611080SAC.html"
"316","https://www.basketball-reference.com/teams/UTA/2017.html"
"317","https://www.basketball-reference.com/teams/CHO/2017.html"
"318","https://www.basketball-reference.com/boxscores/201611090CHO.html"
"319","https://www.basketball-reference.com/teams/PHI/2017.html"
"320","https://www.basketball-reference.com/teams/IND/2017.html"
"321","https://www.basketball-reference.com/boxscores/201611090IND.html"
"322","https://www.basketball-reference.com/teams/BRK/2017.html"
"323","https://www.basketball-reference.com/teams/NYK/2017.html"
"324","https://www.basketball-reference.com/boxscores/201611090NYK.html"
"325","https://www.basketball-reference.com/teams/MIN/2017.html"
"326","https://www.basketball-reference.com/teams/ORL/2017.html"
"327","https://www.basketball-reference.com/boxscores/201611090ORL.html"
"328","https://www.basketball-reference.com/teams/BOS/2017.html"
"329","https://www.basketball-reference.com/teams/WAS/2017.html"
"330","https://www.basketball-reference.com/boxscores/201611090WAS.html"
"331","https://www.basketball-reference.com/teams/CHI/2017.html"
"332","https://www.basketball-reference.com/teams/ATL/2017.html"
"333","https://www.basketball-reference.com/boxscores/201611090ATL.html"
"334","https://www.basketball-reference.com/teams/TOR/2017.html"
"335","https://www.basketball-reference.com/teams/OKC/2017.html"
"336","https://www.basketball-reference.com/boxscores/201611090OKC.html"
"337","https://www.basketball-reference.com/teams/DET/2017.html"
"338","https://www.basketball-reference.com/teams/PHO/2017.html"
"339","https://www.basketball-reference.com/boxscores/201611090PHO.html"
"340","https://www.basketball-reference.com/teams/HOU/2017.html"
"341","https://www.basketball-reference.com/teams/SAS/2017.html"
"342","https://www.basketball-reference.com/boxscores/201611090SAS.html"
"343","https://www.basketball-reference.com/teams/DAL/2017.html"
"344","https://www.basketball-reference.com/teams/GSW/2017.html"
"345","https://www.basketball-reference.com/boxscores/201611090GSW.html"
"346","https://www.basketball-reference.com/teams/POR/2017.html"
"347","https://www.basketball-reference.com/teams/LAC/2017.html"
"348","https://www.basketball-reference.com/boxscores/201611090LAC.html"
"349","https://www.basketball-reference.com/teams/CHI/2017.html"
"350","https://www.basketball-reference.com/teams/MIA/2017.html"
"351","https://www.basketball-reference.com/boxscores/201611100MIA.html"
"352","https://www.basketball-reference.com/teams/NOP/2017.html"
"353","https://www.basketball-reference.com/teams/MIL/2017.html"
"354","https://www.basketball-reference.com/boxscores/201611100MIL.html"
"355","https://www.basketball-reference.com/teams/GSW/2017.html"
"356","https://www.basketball-reference.com/teams/DEN/2017.html"
"357","https://www.basketball-reference.com/boxscores/201611100DEN.html"
"358","https://www.basketball-reference.com/teams/LAL/2017.html"
"359","https://www.basketball-reference.com/teams/SAC/2017.html"
