"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_home118","240","38","94",".404","13","36",".361","12","17",".706","17","27","44","26","7","3","18","18","101",""
"totals_home119","240","34","85",".400","8","21",".381","15","20",".750","11","32","43","18","13","3","15","19","91",""
"totals_home120","240","38","93",".409","17","41",".415","18","24",".750","18","39","57","22","1","4","11","16","111",""
"totals_home121","240","26","78",".333","8","20",".400","14","19",".737","8","35","43","13","11","6","12","18","74",""
"totals_home122","265","36","86",".419","11","32",".344","26","31",".839","13","41","54","24","7","6","19","21","109",""
"totals_home123","240","38","87",".437","3","15",".200","15","19",".789","10","36","46","16","7","5","15","21","94",""
"totals_home124","240","35","90",".389","11","27",".407","34","43",".791","19","34","53","23","16","3","15","18","115",""
"totals_home125","240","38","88",".432","16","28",".571","16","19",".842","9","36","45","21","3","1","16","27","108",""
"totals_home126","240","36","81",".444","9","20",".450","15","19",".789","10","35","45","24","8","2","8","13","96",""
"totals_home127","265","45","86",".523","13","33",".394","19","27",".704","7","29","36","29","8","4","11","24","122",""
"totals_home128","240","36","86",".419","6","27",".222","21","28",".750","11","29","40","17","9","9","13","22","99",""
"totals_home129","240","39","90",".433","6","20",".300","15","19",".789","12","30","42","20","4","5","10","10","99",""
"totals_home130","240","48","95",".505","13","32",".406","8","14",".571","15","37","52","31","10","6","16","14","117",""
"totals_home131","240","39","83",".470","7","22",".318","33","38",".868","11","33","44","18","10","6","11","20","118",""
"totals_home132","240","39","97",".402","5","15",".333","23","25",".920","15","37","52","21","7","6","10","20","106",""
"totals_home133","240","34","89",".382","15","47",".319","17","21",".810","16","30","46","22","6","4","14","19","100",""
"totals_home134","240","38","81",".469","5","17",".294","10","19",".526","4","35","39","21","5","4","8","17","91",""
"totals_home135","240","40","89",".449","8","22",".364","17","21",".810","15","24","39","26","11","3","13","31","105",""
"totals_home136","240","36","68",".529","7","18",".389","27","36",".750","5","30","35","20","9","5","12","20","106",""
"totals_home137","240","36","84",".429","9","25",".360","14","19",".737","14","28","42","15","6","4","15","14","95",""
"totals_home138","240","40","107",".374","8","33",".242","16","21",".762","17","38","55","23","9","3","12","20","104",""
"totals_home139","240","39","92",".424","14","38",".368","8","15",".533","12","41","53","25","3","8","9","13","100",""
"totals_home140","240","42","80",".525","13","27",".481","28","42",".667","9","35","44","28","10","4","10","19","125",""
"totals_home141","240","47","92",".511","7","25",".280","16","26",".615","12","30","42","22","4","6","10","19","117",""
"totals_home142","240","45","87",".517","16","33",".485","27","31",".871","8","35","43","32","8","7","16","20","133",""
"totals_home143","240","39","99",".394","8","29",".276","26","32",".813","14","30","44","21","8","8","7","23","112",""
"totals_home144","240","35","90",".389","8","25",".320","10","10","1.000","7","42","49","22","9","9","9","14","88",""
"totals_home145","240","43","92",".467","5","16",".313","13","16",".813","4","43","47","25","4","9","9","14","104",""
"totals_home146","240","34","78",".436","9","25",".360","16","18",".889","14","37","51","18","5","5","17","16","93",""
"totals_home147","240","44","91",".484","17","40",".425","10","17",".588","16","39","55","20","6","10","17","19","115",""
"totals_home148","240","35","79",".443","6","21",".286","30","36",".833","8","38","46","16","9","4","16","17","106",""
"totals_home149","240","33","82",".402","8","15",".533","20","27",".741","14","38","52","24","4","7","17","15","94",""
"totals_home150","240","35","73",".479","8","28",".286","18","22",".818","6","23","29","17","8","1","8","27","96",""
"totals_home151","240","48","90",".533","14","25",".560","17","21",".810","9","34","43","32","17","6","11","22","127",""
"totals_home152","240","44","83",".530","13","33",".394","20","28",".714","10","36","46","26","4","7","17","18","121",""
"totals_home153","240","36","89",".404","7","23",".304","11","14",".786","17","31","48","13","11","7","23","23","90",""
"totals_home154","240","38","89",".427","15","35",".429","17","21",".810","14","29","43","25","4","5","18","19","108",""
"totals_home155","240","34","95",".358","9","34",".265","11","18",".611","15","34","49","17","8","4","11","18","88",""
"totals_home156","240","41","92",".446","9","28",".321","34","43",".791","14","41","55","24","9","2","11","17","125",""
"totals_home157","240","43","86",".500","10","28",".357","7","11",".636","5","35","40","22","8","12","10","16","103",""
"totals_home158","240","34","88",".386","10","27",".370","11","19",".579","13","37","50","17","7","7","12","15","89",""
"totals_home159","240","42","77",".545","10","28",".357","15","22",".682","5","36","41","30","6","1","17","26","109",""
"totals_home160","240","35","72",".486","10","32",".313","27","31",".871","3","36","39","29","6","8","16","17","107",""
"totals_home161","240","33","76",".434","7","21",".333","17","23",".739","13","40","53","18","6","3","19","17","90",""
"totals_home162","240","42","93",".452","9","25",".360","12","19",".632","19","33","52","24","8","9","9","11","105",""
"totals_home163","240","40","84",".476","12","25",".480","13","14",".929","5","39","44","25","7","7","16","15","105",""
"totals_home164","240","37","82",".451","10","25",".400","37","41",".902","13","33","46","16","8","1","14","22","121",""
"totals_home165","240","45","93",".484","8","17",".471","22","24",".917","14","35","49","23","8","4","14","24","120",""
"totals_home166","240","37","81",".457","9","25",".360","24","34",".706","8","27","35","15","13","7","8","19","107",""
