"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"96",2016-11-07,"Orlando Magic",80,"Chicago Bulls",112,21320,1,32,32,"2016-17",56.8181818181818
"97",2016-11-07,"Miami Heat",85,"Oklahoma City Thunder",97,18203,1,12,12,"2016-17",67.4418604651163
"98",2016-11-07,"New Orleans Pelicans",106,"Golden State Warriors",116,19596,1,10,10,"2016-17",90
"99",2016-11-07,"Detroit Pistons",82,"Los Angeles Clippers",114,19060,1,32,32,"2016-17",66.6666666666667
"100",2016-11-08,"Atlanta Hawks",110,"Cleveland Cavaliers",106,20562,0,-4,4,"2016-17",75.5102040816327
"101",2016-11-08,"Minnesota Timberwolves",110,"Brooklyn Nets",119,13610,1,9,9,"2016-17",31.7073170731707
"102",2016-11-08,"Denver Nuggets",107,"Memphis Grizzlies",108,15109,1,1,1,"2016-17",59.0909090909091
"103",2016-11-08,"Phoenix Suns",121,"Portland Trail Blazers",124,19239,1,3,3,"2016-17",58.1395348837209
"104",2016-11-08,"Dallas Mavericks",109,"Los Angeles Lakers",97,18997,0,-12,12,"2016-17",41.4634146341463
"105",2016-11-08,"New Orleans Pelicans",94,"Sacramento Kings",102,17608,1,8,8,"2016-17",41.4634146341463
"106",2016-11-09,"Utah Jazz",98,"Charlotte Hornets",104,15712,1,6,6,"2016-17",53.6585365853659
"107",2016-11-09,"Philadelphia 76ers",115,"Indiana Pacers",122,15360,1,7,7,"2016-17",67.4418604651163
"108",2016-11-09,"Brooklyn Nets",96,"New York Knicks",110,19812,1,14,14,"2016-17",46.3414634146341
"109",2016-11-09,"Minnesota Timberwolves",123,"Orlando Magic",107,17102,0,-16,16,"2016-17",39.0243902439024
"110",2016-11-09,"Boston Celtics",93,"Washington Wizards",118,12675,1,25,25,"2016-17",76.5957446808511
"111",2016-11-09,"Chicago Bulls",107,"Atlanta Hawks",115,16354,1,8,8,"2016-17",56.8181818181818
"112",2016-11-09,"Toronto Raptors",112,"Oklahoma City Thunder",102,18203,0,-10,10,"2016-17",67.4418604651163
"113",2016-11-09,"Detroit Pistons",100,"Phoenix Suns",107,16719,1,7,7,"2016-17",36.5853658536585
"114",2016-11-09,"Houston Rockets",101,"San Antonio Spurs",99,18418,0,-2,2,"2016-17",73.469387755102
"115",2016-11-09,"Dallas Mavericks",95,"Golden State Warriors",116,19596,1,21,21,"2016-17",90
"116",2016-11-09,"Portland Trail Blazers",80,"Los Angeles Clippers",111,19060,1,31,31,"2016-17",66.6666666666667
"117",2016-11-10,"Chicago Bulls",98,"Miami Heat",95,19600,0,-3,3,"2016-17",56.0975609756098
"118",2016-11-10,"New Orleans Pelicans",112,"Milwaukee Bucks",106,12159,0,-6,6,"2016-17",54.5454545454545
"119",2016-11-10,"Golden State Warriors",125,"Denver Nuggets",101,17569,0,-24,24,"2016-17",53.6585365853659
"120",2016-11-10,"Los Angeles Lakers",101,"Sacramento Kings",91,17608,0,-10,10,"2016-17",41.4634146341463
"121",2016-11-11,"Toronto Raptors",113,"Charlotte Hornets",111,18107,0,-2,2,"2016-17",53.6585365853659
"122",2016-11-11,"Utah Jazz",87,"Orlando Magic",74,18846,0,-13,13,"2016-17",39.0243902439024
"123",2016-11-11,"Indiana Pacers",105,"Philadelphia 76ers",109,17643,1,4,4,"2016-17",41.4634146341463
"124",2016-11-11,"Cleveland Cavaliers",105,"Washington Wizards",94,20356,0,-11,11,"2016-17",76.5957446808511
"125",2016-11-11,"New York Knicks",87,"Boston Celtics",115,18624,1,28,28,"2016-17",68.6274509803922
"126",2016-11-11,"Los Angeles Clippers",110,"Oklahoma City Thunder",108,18203,0,-2,2,"2016-17",67.4418604651163
"127",2016-11-11,"Detroit Pistons",86,"San Antonio Spurs",96,18418,1,10,10,"2016-17",73.469387755102
"128",2016-11-11,"Sacramento Kings",120,"Portland Trail Blazers",122,19918,1,2,2,"2016-17",58.1395348837209
"129",2016-11-12,"Boston Celtics",105,"Indiana Pacers",99,17923,0,-6,6,"2016-17",67.4418604651163
"130",2016-11-12,"Los Angeles Lakers",126,"New Orleans Pelicans",99,17138,0,-27,27,"2016-17",51.219512195122
"131",2016-11-12,"Philadelphia 76ers",96,"Atlanta Hawks",117,17399,1,21,21,"2016-17",56.8181818181818
"132",2016-11-12,"New York Knicks",107,"Toronto Raptors",118,19800,1,11,11,"2016-17",65.2173913043478
"133",2016-11-12,"Washington Wizards",95,"Chicago Bulls",106,21962,1,11,11,"2016-17",56.8181818181818
"134",2016-11-12,"San Antonio Spurs",106,"Houston Rockets",100,18055,0,-6,6,"2016-17",72.3404255319149
"135",2016-11-12,"Utah Jazz",102,"Miami Heat",91,19600,0,-11,11,"2016-17",56.0975609756098
"136",2016-11-12,"Los Angeles Clippers",119,"Minnesota Timberwolves",105,14494,0,-14,14,"2016-17",48.780487804878
