"","urls","home","away"
"890","https://www.basketball-reference.com/boxscores/201702280DET.html","DET","POR"
"891","https://www.basketball-reference.com/boxscores/201702280CHI.html","CHI","DEN"
"892","https://www.basketball-reference.com/boxscores/201702280MEM.html","MEM","PHO"
"893","https://www.basketball-reference.com/boxscores/201702280OKC.html","OKC","UTA"
"894","https://www.basketball-reference.com/boxscores/201702280LAL.html","LAL","CHO"
"895","https://www.basketball-reference.com/boxscores/201703010ORL.html","ORL","NYK"
"896","https://www.basketball-reference.com/boxscores/201703010ATL.html","ATL","DAL"
"897","https://www.basketball-reference.com/boxscores/201703010MIA.html","MIA","PHI"
"898","https://www.basketball-reference.com/boxscores/201703010TOR.html","TOR","WAS"
"899","https://www.basketball-reference.com/boxscores/201703010BOS.html","BOS","CLE"
"900","https://www.basketball-reference.com/boxscores/201703010MIL.html","MIL","DEN"
"901","https://www.basketball-reference.com/boxscores/201703010NOP.html","NOP","DET"
"902","https://www.basketball-reference.com/boxscores/201703010SAS.html","SAS","IND"
"903","https://www.basketball-reference.com/boxscores/201703010UTA.html","UTA","MIN"
"904","https://www.basketball-reference.com/boxscores/201703010LAC.html","LAC","HOU"
"905","https://www.basketball-reference.com/boxscores/201703010SAC.html","SAC","BRK"
"906","https://www.basketball-reference.com/boxscores/201703020CHI.html","CHI","GSW"
"907","https://www.basketball-reference.com/boxscores/201703020PHO.html","PHO","CHO"
"908","https://www.basketball-reference.com/boxscores/201703020POR.html","POR","OKC"
"909","https://www.basketball-reference.com/boxscores/201703030ATL.html","ATL","CLE"
"910","https://www.basketball-reference.com/boxscores/201703030ORL.html","ORL","MIA"
"911","https://www.basketball-reference.com/boxscores/201703030PHI.html","PHI","NYK"
"912","https://www.basketball-reference.com/boxscores/201703030WAS.html","WAS","TOR"
"913","https://www.basketball-reference.com/boxscores/201703030MIL.html","MIL","LAC"
"914","https://www.basketball-reference.com/boxscores/201703030DAL.html","DAL","MEM"
"915","https://www.basketball-reference.com/boxscores/201703030PHO.html","PHO","OKC"
"916","https://www.basketball-reference.com/boxscores/201703030UTA.html","UTA","BRK"
"917","https://www.basketball-reference.com/boxscores/201703030NOP.html","NOP","SAS"
"918","https://www.basketball-reference.com/boxscores/201703030LAL.html","LAL","BOS"
"919","https://www.basketball-reference.com/boxscores/201703040PHI.html","PHI","DET"
"920","https://www.basketball-reference.com/boxscores/201703040MIA.html","MIA","CLE"
"921","https://www.basketball-reference.com/boxscores/201703040MIL.html","MIL","TOR"
"922","https://www.basketball-reference.com/boxscores/201703040CHI.html","CHI","LAC"
"923","https://www.basketball-reference.com/boxscores/201703040DEN.html","DEN","CHO"
"924","https://www.basketball-reference.com/boxscores/201703040HOU.html","HOU","MEM"
"925","https://www.basketball-reference.com/boxscores/201703040SAS.html","SAS","MIN"
"926","https://www.basketball-reference.com/boxscores/201703040POR.html","POR","BRK"
"927","https://www.basketball-reference.com/boxscores/201703050ATL.html","ATL","IND"
"928","https://www.basketball-reference.com/boxscores/201703050NYK.html","NYK","GSW"
"929","https://www.basketball-reference.com/boxscores/201703050PHO.html","PHO","BOS"
"930","https://www.basketball-reference.com/boxscores/201703050WAS.html","WAS","ORL"
"931","https://www.basketball-reference.com/boxscores/201703050SAC.html","SAC","UTA"
"932","https://www.basketball-reference.com/boxscores/201703050DAL.html","DAL","OKC"
"933","https://www.basketball-reference.com/boxscores/201703050LAL.html","LAL","NOP"
"934","https://www.basketball-reference.com/boxscores/201703060CLE.html","CLE","MIA"
"935","https://www.basketball-reference.com/boxscores/201703060ORL.html","ORL","NYK"
"936","https://www.basketball-reference.com/boxscores/201703060PHI.html","PHI","MIL"
"937","https://www.basketball-reference.com/boxscores/201703060ATL.html","ATL","GSW"
"938","https://www.basketball-reference.com/boxscores/201703060DET.html","DET","CHI"
"939","https://www.basketball-reference.com/boxscores/201703060CHO.html","CHO","IND"
"940","https://www.basketball-reference.com/boxscores/201703060MEM.html","MEM","BRK"
"941","https://www.basketball-reference.com/boxscores/201703060SAS.html","SAS","HOU"
"942","https://www.basketball-reference.com/boxscores/201703060DEN.html","DEN","SAC"
"943","https://www.basketball-reference.com/boxscores/201703060UTA.html","UTA","NOP"
"944","https://www.basketball-reference.com/boxscores/201703060LAC.html","LAC","BOS"
"945","https://www.basketball-reference.com/boxscores/201703070OKC.html","OKC","POR"
"946","https://www.basketball-reference.com/boxscores/201703070DAL.html","DAL","LAL"
"947","https://www.basketball-reference.com/boxscores/201703070PHO.html","PHO","WAS"
"948","https://www.basketball-reference.com/boxscores/201703080ORL.html","ORL","CHI"
"949","https://www.basketball-reference.com/boxscores/201703080ATL.html","ATL","BRK"
"950","https://www.basketball-reference.com/boxscores/201703080MIA.html","MIA","CHO"
"951","https://www.basketball-reference.com/boxscores/201703080HOU.html","HOU","UTA"
"952","https://www.basketball-reference.com/boxscores/201703080IND.html","IND","DET"
"953","https://www.basketball-reference.com/boxscores/201703080MIL.html","MIL","NYK"
"954","https://www.basketball-reference.com/boxscores/201703080MIN.html","MIN","LAC"
"955","https://www.basketball-reference.com/boxscores/201703080NOP.html","NOP","TOR"
"956","https://www.basketball-reference.com/boxscores/201703080SAS.html","SAS","SAC"
"957","https://www.basketball-reference.com/boxscores/201703080DEN.html","DEN","WAS"
"958","https://www.basketball-reference.com/boxscores/201703080GSW.html","GSW","BOS"
"959","https://www.basketball-reference.com/boxscores/201703090DET.html","DET","CLE"
"960","https://www.basketball-reference.com/boxscores/201703090MEM.html","MEM","LAC"
"961","https://www.basketball-reference.com/boxscores/201703090OKC.html","OKC","SAS"
"962","https://www.basketball-reference.com/boxscores/201703090POR.html","POR","PHI"
"963","https://www.basketball-reference.com/boxscores/201703090PHO.html","PHO","LAL"
"964","https://www.basketball-reference.com/boxscores/201703100CHO.html","CHO","ORL"
"965","https://www.basketball-reference.com/boxscores/201703100ATL.html","ATL","TOR"
"966","https://www.basketball-reference.com/boxscores/201703100CHI.html","CHI","HOU"
"967","https://www.basketball-reference.com/boxscores/201703100MIL.html","MIL","IND"
"968","https://www.basketball-reference.com/boxscores/201703100MIN.html","MIN","GSW"
"969","https://www.basketball-reference.com/boxscores/201703100DAL.html","DAL","BRK"
"970","https://www.basketball-reference.com/boxscores/201703100DEN.html","DEN","BOS"
"971","https://www.basketball-reference.com/boxscores/201703100SAC.html","SAC","WAS"
"972","https://www.basketball-reference.com/boxscores/201703110OKC.html","OKC","UTA"
"973","https://www.basketball-reference.com/boxscores/201703110LAC.html","LAC","PHI"
"974","https://www.basketball-reference.com/boxscores/201703110DET.html","DET","NYK"
"975","https://www.basketball-reference.com/boxscores/201703110CHO.html","CHO","NOP"
"976","https://www.basketball-reference.com/boxscores/201703110ORL.html","ORL","CLE"
"977","https://www.basketball-reference.com/boxscores/201703110MIA.html","MIA","TOR"
"978","https://www.basketball-reference.com/boxscores/201703110MIL.html","MIL","MIN"
"979","https://www.basketball-reference.com/boxscores/201703110SAS.html","SAS","GSW"
"980","https://www.basketball-reference.com/boxscores/201703110DAL.html","DAL","PHO"
"981","https://www.basketball-reference.com/boxscores/201703110MEM.html","MEM","ATL"
"982","https://www.basketball-reference.com/boxscores/201703110POR.html","POR","WAS"
"983","https://www.basketball-reference.com/boxscores/201703110SAC.html","SAC","DEN"
"984","https://www.basketball-reference.com/boxscores/201703120BOS.html","BOS","CHI"
"985","https://www.basketball-reference.com/boxscores/201703120BRK.html","BRK","NYK"
"986","https://www.basketball-reference.com/boxscores/201703120IND.html","IND","MIA"
"987","https://www.basketball-reference.com/boxscores/201703120HOU.html","HOU","CLE"
"988","https://www.basketball-reference.com/boxscores/201703120PHO.html","PHO","POR"
"989","https://www.basketball-reference.com/boxscores/201703120LAL.html","LAL","PHI"
"990","https://www.basketball-reference.com/boxscores/201703130CHO.html","CHO","CHI"
"991","https://www.basketball-reference.com/boxscores/201703130TOR.html","TOR","DAL"
"992","https://www.basketball-reference.com/boxscores/201703130MEM.html","MEM","MIL"
"993","https://www.basketball-reference.com/boxscores/201703130MIN.html","MIN","WAS"
"994","https://www.basketball-reference.com/boxscores/201703130SAS.html","SAS","ATL"
"995","https://www.basketball-reference.com/boxscores/201703130UTA.html","UTA","LAC"
"996","https://www.basketball-reference.com/boxscores/201703130DEN.html","DEN","LAL"
"997","https://www.basketball-reference.com/boxscores/201703130SAC.html","SAC","ORL"
"998","https://www.basketball-reference.com/boxscores/201703140CLE.html","CLE","DET"
"999","https://www.basketball-reference.com/boxscores/201703140BRK.html","BRK","OKC"
"1000","https://www.basketball-reference.com/boxscores/201703140NYK.html","NYK","IND"
"1001","https://www.basketball-reference.com/boxscores/201703140NOP.html","NOP","POR"
"1002","https://www.basketball-reference.com/boxscores/201703140GSW.html","GSW","PHI"
"1003","https://www.basketball-reference.com/boxscores/201703150IND.html","IND","CHO"
"1004","https://www.basketball-reference.com/boxscores/201703150WAS.html","WAS","DAL"
"1005","https://www.basketball-reference.com/boxscores/201703150BOS.html","BOS","MIN"
"1006","https://www.basketball-reference.com/boxscores/201703150DET.html","DET","UTA"
"1007","https://www.basketball-reference.com/boxscores/201703150MIA.html","MIA","NOP"
"1008","https://www.basketball-reference.com/boxscores/201703150CHI.html","CHI","MEM"
"1009","https://www.basketball-reference.com/boxscores/201703150HOU.html","HOU","LAL"
"1010","https://www.basketball-reference.com/boxscores/201703150SAS.html","SAS","POR"
"1011","https://www.basketball-reference.com/boxscores/201703150PHO.html","PHO","SAC"
"1012","https://www.basketball-reference.com/boxscores/201703150LAC.html","LAC","MIL"
"1013","https://www.basketball-reference.com/boxscores/201703160CLE.html","CLE","UTA"
"1014","https://www.basketball-reference.com/boxscores/201703160TOR.html","TOR","OKC"
"1015","https://www.basketball-reference.com/boxscores/201703160ATL.html","ATL","MEM"
"1016","https://www.basketball-reference.com/boxscores/201703160NYK.html","NYK","BRK"
"1017","https://www.basketball-reference.com/boxscores/201703160DEN.html","DEN","LAC"
"1018","https://www.basketball-reference.com/boxscores/201703160GSW.html","GSW","ORL"
"1019","https://www.basketball-reference.com/boxscores/201703170PHI.html","PHI","DAL"
"1020","https://www.basketball-reference.com/boxscores/201703170WAS.html","WAS","CHI"
"1021","https://www.basketball-reference.com/boxscores/201703170BRK.html","BRK","BOS"
"1022","https://www.basketball-reference.com/boxscores/201703170DET.html","DET","TOR"
"1023","https://www.basketball-reference.com/boxscores/201703170MIA.html","MIA","MIN"
"1024","https://www.basketball-reference.com/boxscores/201703170NOP.html","NOP","HOU"
"1025","https://www.basketball-reference.com/boxscores/201703170PHO.html","PHO","ORL"
"1026","https://www.basketball-reference.com/boxscores/201703170LAL.html","LAL","MIL"
"1027","https://www.basketball-reference.com/boxscores/201703180OKC.html","OKC","SAC"
"1028","https://www.basketball-reference.com/boxscores/201703180ATL.html","ATL","POR"
"1029","https://www.basketball-reference.com/boxscores/201703180CHO.html","CHO","WAS"
"1030","https://www.basketball-reference.com/boxscores/201703180LAC.html","LAC","CLE"
"1031","https://www.basketball-reference.com/boxscores/201703180CHI.html","CHI","UTA"
"1032","https://www.basketball-reference.com/boxscores/201703180MEM.html","MEM","SAS"
"1033","https://www.basketball-reference.com/boxscores/201703180DEN.html","DEN","HOU"
"1034","https://www.basketball-reference.com/boxscores/201703180GSW.html","GSW","MIL"
"1035","https://www.basketball-reference.com/boxscores/201703190BRK.html","BRK","DAL"
"1036","https://www.basketball-reference.com/boxscores/201703190PHI.html","PHI","BOS"
"1037","https://www.basketball-reference.com/boxscores/201703190DET.html","DET","PHO"
"1038","https://www.basketball-reference.com/boxscores/201703190MIA.html","MIA","POR"
"1039","https://www.basketball-reference.com/boxscores/201703190NOP.html","NOP","MIN"
"1040","https://www.basketball-reference.com/boxscores/201703190TOR.html","TOR","IND"
"1041","https://www.basketball-reference.com/boxscores/201703190SAS.html","SAS","SAC"
"1042","https://www.basketball-reference.com/boxscores/201703190LAL.html","LAL","CLE"
"1043","https://www.basketball-reference.com/boxscores/201703200CHO.html","CHO","ATL"
"1044","https://www.basketball-reference.com/boxscores/201703200IND.html","IND","UTA"
"1045","https://www.basketball-reference.com/boxscores/201703200ORL.html","ORL","PHI"
"1046","https://www.basketball-reference.com/boxscores/201703200BOS.html","BOS","WAS"
"1047","https://www.basketball-reference.com/boxscores/201703200HOU.html","HOU","DEN"
"1048","https://www.basketball-reference.com/boxscores/201703200OKC.html","OKC","GSW"
"1049","https://www.basketball-reference.com/boxscores/201703200LAC.html","LAC","NYK"
"1050","https://www.basketball-reference.com/boxscores/201703210TOR.html","TOR","CHI"
"1051","https://www.basketball-reference.com/boxscores/201703210BRK.html","BRK","DET"
"1052","https://www.basketball-reference.com/boxscores/201703210MIA.html","MIA","PHO"
"1053","https://www.basketball-reference.com/boxscores/201703210NOP.html","NOP","MEM"
"1054","https://www.basketball-reference.com/boxscores/201703210DAL.html","DAL","GSW"
"1055","https://www.basketball-reference.com/boxscores/201703210MIN.html","MIN","SAS"
"1056","https://www.basketball-reference.com/boxscores/201703210POR.html","POR","MIL"
"1057","https://www.basketball-reference.com/boxscores/201703210LAL.html","LAL","LAC"
"1058","https://www.basketball-reference.com/boxscores/201703220ORL.html","ORL","CHO"
"1059","https://www.basketball-reference.com/boxscores/201703220BOS.html","BOS","IND"
"1060","https://www.basketball-reference.com/boxscores/201703220CHI.html","CHI","DET"
"1061","https://www.basketball-reference.com/boxscores/201703220OKC.html","OKC","PHI"
"1062","https://www.basketball-reference.com/boxscores/201703220WAS.html","WAS","ATL"
"1063","https://www.basketball-reference.com/boxscores/201703220DEN.html","DEN","CLE"
"1064","https://www.basketball-reference.com/boxscores/201703220SAC.html","SAC","MIL"
"1065","https://www.basketball-reference.com/boxscores/201703220UTA.html","UTA","NYK"
"1066","https://www.basketball-reference.com/boxscores/201703230BRK.html","BRK","PHO"
"1067","https://www.basketball-reference.com/boxscores/201703230MIA.html","MIA","TOR"
"1068","https://www.basketball-reference.com/boxscores/201703230DAL.html","DAL","LAC"
"1069","https://www.basketball-reference.com/boxscores/201703230SAS.html","SAS","MEM"
"1070","https://www.basketball-reference.com/boxscores/201703230POR.html","POR","NYK"
"1071","https://www.basketball-reference.com/boxscores/201703240CHO.html","CHO","CLE"
"1072","https://www.basketball-reference.com/boxscores/201703240IND.html","IND","DEN"
"1073","https://www.basketball-reference.com/boxscores/201703240ORL.html","ORL","DET"
"1074","https://www.basketball-reference.com/boxscores/201703240WAS.html","WAS","BRK"
"1075","https://www.basketball-reference.com/boxscores/201703240BOS.html","BOS","PHO"
"1076","https://www.basketball-reference.com/boxscores/201703240CHI.html","CHI","PHI"
"1077","https://www.basketball-reference.com/boxscores/201703240HOU.html","HOU","NOP"
"1078","https://www.basketball-reference.com/boxscores/201703240MIL.html","MIL","ATL"
"1079","https://www.basketball-reference.com/boxscores/201703240GSW.html","GSW","SAC"
"1080","https://www.basketball-reference.com/boxscores/201703240LAL.html","LAL","MIN"
"1081","https://www.basketball-reference.com/boxscores/201703250LAC.html","LAC","UTA"
"1082","https://www.basketball-reference.com/boxscores/201703250CLE.html","CLE","WAS"
"1083","https://www.basketball-reference.com/boxscores/201703250DAL.html","DAL","TOR"
"1084","https://www.basketball-reference.com/boxscores/201703250SAS.html","SAS","NYK"
"1085","https://www.basketball-reference.com/boxscores/201703250POR.html","POR","MIN"
"1086","https://www.basketball-reference.com/boxscores/201703260ATL.html","ATL","BRK"
"1087","https://www.basketball-reference.com/boxscores/201703260CHO.html","CHO","PHO"
"1088","https://www.basketball-reference.com/boxscores/201703260HOU.html","HOU","OKC"
"1089","https://www.basketball-reference.com/boxscores/201703260LAC.html","LAC","SAC"
"1090","https://www.basketball-reference.com/boxscores/201703260MIL.html","MIL","CHI"
"1091","https://www.basketball-reference.com/boxscores/201703260BOS.html","BOS","MIA"
"1092","https://www.basketball-reference.com/boxscores/201703260IND.html","IND","PHI"
"1093","https://www.basketball-reference.com/boxscores/201703260DEN.html","DEN","NOP"
"1094","https://www.basketball-reference.com/boxscores/201703260GSW.html","GSW","MEM"
"1095","https://www.basketball-reference.com/boxscores/201703260LAL.html","LAL","POR"
"1096","https://www.basketball-reference.com/boxscores/201703270NYK.html","NYK","DET"
"1097","https://www.basketball-reference.com/boxscores/201703270TOR.html","TOR","ORL"
"1098","https://www.basketball-reference.com/boxscores/201703270SAS.html","SAS","CLE"
"1099","https://www.basketball-reference.com/boxscores/201703270DAL.html","DAL","OKC"
"1100","https://www.basketball-reference.com/boxscores/201703270SAC.html","SAC","MEM"
"1101","https://www.basketball-reference.com/boxscores/201703270UTA.html","UTA","NOP"
"1102","https://www.basketball-reference.com/boxscores/201703280CHO.html","CHO","MIL"
"1103","https://www.basketball-reference.com/boxscores/201703280IND.html","IND","MIN"
"1104","https://www.basketball-reference.com/boxscores/201703280ATL.html","ATL","PHO"
"1105","https://www.basketball-reference.com/boxscores/201703280BRK.html","BRK","PHI"
"1106","https://www.basketball-reference.com/boxscores/201703280DET.html","DET","MIA"
"1107","https://www.basketball-reference.com/boxscores/201703280HOU.html","HOU","GSW"
"1108","https://www.basketball-reference.com/boxscores/201703280POR.html","POR","DEN"
"1109","https://www.basketball-reference.com/boxscores/201703280LAL.html","LAL","WAS"
"1110","https://www.basketball-reference.com/boxscores/201703290ORL.html","ORL","OKC"
"1111","https://www.basketball-reference.com/boxscores/201703290PHI.html","PHI","ATL"
"1112","https://www.basketball-reference.com/boxscores/201703290BOS.html","BOS","MIL"
"1113","https://www.basketball-reference.com/boxscores/201703290NYK.html","NYK","MIA"
"1114","https://www.basketball-reference.com/boxscores/201703290TOR.html","TOR","CHO"
"1115","https://www.basketball-reference.com/boxscores/201703290MEM.html","MEM","IND"
"1116","https://www.basketball-reference.com/boxscores/201703290NOP.html","NOP","DAL"
"1117","https://www.basketball-reference.com/boxscores/201703290SAS.html","SAS","GSW"
"1118","https://www.basketball-reference.com/boxscores/201703290LAC.html","LAC","WAS"
"1119","https://www.basketball-reference.com/boxscores/201703290SAC.html","SAC","UTA"
"1120","https://www.basketball-reference.com/boxscores/201703300DET.html","DET","BRK"
"1121","https://www.basketball-reference.com/boxscores/201703300CHI.html","CHI","CLE"
"1122","https://www.basketball-reference.com/boxscores/201703300MIN.html","MIN","LAL"
"1123","https://www.basketball-reference.com/boxscores/201703300PHO.html","PHO","LAC"
"1124","https://www.basketball-reference.com/boxscores/201703300POR.html","POR","HOU"
"1125","https://www.basketball-reference.com/boxscores/201703310CHO.html","CHO","DEN"
"1126","https://www.basketball-reference.com/boxscores/201703310TOR.html","TOR","IND"
"1127","https://www.basketball-reference.com/boxscores/201703310BOS.html","BOS","ORL"
"1128","https://www.basketball-reference.com/boxscores/201703310CLE.html","CLE","PHI"
"1129","https://www.basketball-reference.com/boxscores/201703310MEM.html","MEM","DAL"
"1130","https://www.basketball-reference.com/boxscores/201703310MIA.html","MIA","NYK"
"1131","https://www.basketball-reference.com/boxscores/201703310MIL.html","MIL","DET"
